Mess,Month,Meal,Waste_KG,Plates,Waste_Percent,Estimated_Dish
J-MESS,May-23,DINNER,2750,32457,8,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Jun-23,BF,25,689,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Jun-23,LUNCH,71,767,9,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Jun-23,SNACKS,0,0,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Jun-23,DINNER,0,0,0,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Jul-23,BF,346,13142,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Jul-23,LUNCH,1914,23067,8,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Jul-23,SNACKS,0,24442,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Jul-23,DINNER,1990,24442,8,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Aug-23,BF,959,27526,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Aug-23,LUNCH,1420,43960,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Aug-23,SNACKS,0,45974,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Aug-23,DINNER,1552,45974,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Sep-23,BF,948,26195,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Sep-23,LUNCH,1210,41511,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Sep-23,SNACKS,0,46272,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Sep-23,DINNER,1390,46272,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Oct-23,BF,694,26369,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Oct-23,LUNCH,882,43172,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Oct-23,SNACKS,0,45651,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Oct-23,DINNER,985,45652,2,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Nov-23,BF,734,27719,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
